Offence/Defence,进攻/防御
Impale + Hit DPS,含穿刺伤总DPS
Life regen,生命再生
Life leech,生命偷取
Recoverable ES,可恢复能量护盾
Energy Shield regen,能量护盾再生
Energy Shield leech,能量护盾偷取
Mana regen,魔力再生
Mana leech,魔力偷取
Total Attributes,总属性
Melee avoid chance,近战伤害避免几率
Spell avoid chance,法术伤害避免几率
Projectile avoid chance,投射物伤害避免几率
Eff. Maximum Hit Taken,有效最大击中上承受值
Taken Phys dmg,物理伤害承受
Taken Lightning dmg,闪电伤害承受
Taken Cold dmg,冰霜伤害承受
Taken Fire dmg,火焰伤害承受
Taken Chaos dmg,混沌伤害承受
Crit Chance,暴击几率
Crit Multiplier,暴击伤害加成
Move speed,移动速度
Spell Suppression Chance,法术压制几率